camis,dba,zipcode,cuisine_description
50042805,ITALIANA CREMOSA PIZZERIA & RESTAURANT,11419.0,Italian
50067810,CHANG BAI/ JANG BAK,11354.0,Korean
41269725,STARBUCKS,11426.0,Caf̩/Coffee/Tea
50014166,SOHNA PUNJAB INDIAN RESTAURANT,11426.0,Indian
40936721,EL PAISA BAR,11372.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41347625,EAT & GO ISTANBUL/NEW YORK,11430.0,Sandwiches
50047071,EL DIEZ,11378.0,Pizza/Italian
41383581,WINDIES RESTAURANT AND BAR,11428.0,Caribbean
50054510,THE DESSERT KITCHEN,11354.0,Caf̩/Coffee/Tea
41412957,KHAABAR BAARI,11372.0,Bangladeshi
50072194,G & L BAR & RESTAURANT,11435.0,Caribbean
50058250,VERSAILLES PALACE,11374.0,Jewish/Kosher
41553265,MARIA'S,11361.0,Greek
40393051,FRIEND'S TAVERN,11372.0,American
41004222,JAMESONS PUB,11694.0,American
41157994,MAXIN BAKERY,11354.0,Bakery
41621317,GRACE KITCHEN,11420.0,Chinese
41186059,BAGELBERRY,11102.0,Bagels/Pretzels
40391714,WHITE CASTLE,11372.0,Hamburgers
50047261,SOUL CITY RESTAURANT,11434.0,Soul Food
41083266,SPARKS DELI RESTAURANT,11101.0,Delicatessen
50018149,101 MEAT SHOP,11419.0,Indian
50063867,LA GRINGA BAR & GRILL,11374.0,Mexican
50017672,SUSHI TOKYO,11367.0,Jewish/Kosher
41387641,BI WON,11364.0,Korean
41636384,BELL DINER,11364.0,American
41704299,LOS VERDES,11104.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50055391,KING WOK,11367.0,Chinese
50017475,EL PARROQUENO RESTAURANT,11368.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50035264,CHIPOTLE MEXICAN GRILL,11362.0,Mexican
50015229,TACUBA CANTIINA MEXICANA,11106.0,Mexican
50071155,NEW TASTE OF CHINA NY,11373.0,Chinese
41689407,NORTHERN MANOR,11362.0,Chinese
41644418,BAGEL BIN,11421.0,Bagels/Pretzels
50059185,55 RESTAURANT,11377.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41567826,TURQUOISE KOSHER FISH RESTAURANT,11366.0,Jewish/Kosher
50060140,STEP ONE RESTAURANT AND LOUNGE,11413.0,Caribbean
41154370,HENRICA'S RESTAURANT,11422.0,Caribbean
50069599,Best Salad,11432.0,Chinese
41417849,STAMATIS RESTAURANT,11105.0,Greek
50067454,GOOD EATS BISTRO,11369.0,American
40384115,PHIL & SONS RESTAURANT & PIZZERIA,11355.0,Pizza/Italian
41701514,DUNKIN' DONUTS,11436.0,Donuts
41599283,EAST DRAGON,11368.0,Chinese
41539593,COATZINGO RESTAURANT,11372.0,Mexican
50036890,NEW SHANGHAI TIDE RESTAURANT,11354.0,Chinese
50067373,JOEY PEPPERONI'S PIZZA,11432.0,Pizza
50084075,YONGGOONG KALKOOKSOO,11358.0,Korean
41306859,SUN WAH CHINESE RESTAURANT OF NY,11106.0,Chinese
50059082,M.I.A. MADE IN ASTORIA,11102.0,American
50052715,DINO'S TAVERN,11105.0,Greek
41645235,LUKE KELLYS,11377.0,Irish
50040813,FU RUN DONG BEI,11354.0,Chinese
41648700,LITTLE SHEEP MONGOLIAN HOT POT,11354.0,Chinese
50002572,LA RUBIA RESTAURANT,11385.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41671572,LEFRAK PIZZA,11368.0,Pizza
40888264,SUBWAY,11428.0,Sandwiches
50004274,J & C DELICIAS,11372.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41253406,PUNJABI INDIAN & AMERICAN RESTAURANT,11358.0,Indian
41646872,ADMIRALS CLUB (CONC C),11430.0,American
41453387,LOCAL BAR AND GRILL,11361.0,American
41628443,KFC,11411.0,Chicken
50057979,BIGWELL BAKERY AND HALAL RESTAURANT,11417.0,Bakery
41461711,CHEN GRAND CHINA RESTAURANT,11378.0,Chinese
41707126,CAFE ORIGINALE,11358.0,Korean
40786218,MCDONALD'S,11356.0,Hamburgers
41316918,OLMSTED CAFETERIA,11368.0,American
41461165,NEW BRISAS LATINAS BAKERY RESTAURANT,11420.0,Spanish
50067135,YOI SUSHI,11354.0,Japanese
41327097,SURFSIDE BAGELS,11693.0,Bagels/Pretzels
50038018,ICE BAR & GRILL,11419.0,Caribbean
50017349,CHIMI MUNDO AND RESTAURANT,11421.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41545062,MIZUMI,11363.0,Japanese
50060140,STEP ONE RESTAURANT AND LOUNGE,11413.0,Caribbean
50076792,COFFEE & GREEN,11106.0,American
50060093,T-SWIRL CREPE,11103.0,Chinese
50045209,POP'S RESTAURANT,11421.0,Spanish
40717559,BILLIARD COMPANY,11375.0,American
41023651,MCDONALD'S,11385.0,Hamburgers
41182288,MCDONALD'S,11375.0,Hamburgers
50066414,THE CITY DINER,11378.0,American
50033842,RU YI BROADWAY RESTAURANT,11373.0,Chinese
41115762,SPRING GARDENS RESTAURANT,11413.0,Caribbean
50052408,SAKE BAR BY ZABB,11372.0,Thai
41646198,CHUBBY BURGERS & CHICKEN,11103.0,American
41679611,TAKESUSHI,11104.0,Japanese
50077727,SABOR PERUANO RESTAURANT,11368.0,Peruvian
40395087,AUSTINS ALE HOUSE,11415.0,American
50041181,ISLAND TASTE,11422.0,Caribbean
50001483,CROWN FRIED CHICKEN,11385.0,Chicken
40547163,GLENLO TAVERN,,American
50057432,LODRICKA,11433.0,Caribbean
41705979,NEPALESE INDIAN RESTAURANT,11385.0,Indian
50066992,KUNG FU XIAO LONG BAO,11355.0,Chinese
50082975,Collide BBQ Fusion,11354.0,Chinese
50044382,FOREST HILLS CAFE/COFFEE SHOP,11375.0,American
50050754,SUBWAY,11379.0,Sandwiches
40950399,POLLOS A LA BRASA MARIO,11372.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50044861,Lao Jie Special Soup Buns,11354.0,Chinese
41623109,LUCID CAFE,11377.0,Caf̩/Coffee/Tea
50067420,SABOR DE MI TIERRA 2,11368.0,Spanish
50043500,APNAR PIZZA BURGER & FRIED CHICKEN,11432.0,Pizza
41572018,"AIR BAR, NY DELI, TIM HORTONS",11435.0,American
50067964,VANILLA CAFE,11368.0,Spanish
41461968,ROUND TWO KARAOKE,11358.0,Korean
41611678,FIRST SERVICE BAR,11420.0,"Bottled beverages, including water, sodas, juices, etc."
50066073,EL MORDISCO RESTAURANT & SPORT BAR,11372.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41260669,MATTEO'S OF HOWARD BEACH,11414.0,Italian
50040490,SLICE,11101.0,Pizza
50052545,MING GARDEN CHINESE,11367.0,Chinese
50034762,TRANS AM CAFE,11385.0,Caf̩/Coffee/Tea
50003622,XING WANG FUZHOU CUISINE,11355.0,Chinese
50001206,LITTLE TIBET,11372.0,Asian
