nRest,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,inspection_type
40395298,09/08/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12.0,,Cycle Inspection / Compliance Inspection
50059849,05/03/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",CRITICAL,15.0,,Pre-permit (Operational) / Initial Inspection
41655458,03/03/2016,Violations were cited in the following area(s).,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",NOT CRITICAL,13.0,A,Cycle Inspection / Re-inspection
50038360,07/27/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10.0,A,Cycle Inspection / Initial Inspection
41377990,10/04/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,7.0,,Cycle Inspection / Initial Inspection
40380520,12/19/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,3.0,A,Cycle Inspection / Initial Inspection
41708952,12/05/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,not critical,17.0,,Cycle Inspection / Initial Inspection
50068985,10/26/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,12.0,A,Pre-permit (Operational) / Re-inspection
41688941,02/17/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,Cycle Inspection / Initial Inspection
50081979,09/17/2018,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,CRITICAL,14.0,,Pre-permit (Operational) / Initial Inspection
41630124,05/24/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,60.0,,Cycle Inspection / Initial Inspection
50055407,04/14/2018,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,9.0,A,Cycle Inspection / Re-inspection
50074719,06/26/2018,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,CRITICAL,12.0,A,Pre-permit (Operational) / Re-inspection
50078166,10/02/2018,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,NOT CRITICAL,20.0,,Cycle Inspection / Initial Inspection
41629960,01/19/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11.0,A,Cycle Inspection / Initial Inspection
50048338,07/17/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,40.0,,Cycle Inspection / Initial Inspection
41437928,05/12/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,Cycle Inspection / Initial Inspection
41253552,08/04/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,16.0,,Cycle Inspection / Initial Inspection
41722121,10/24/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,CRITICAL,9.0,A,Cycle Inspection / Initial Inspection
50084682,2018-07-11,Violations were cited in the following area(s).,05C,Food contact surface improperly constructed or located. Unacceptable material used.,Critical,43.0,Not Yet Graded,Pre-permit (Operational) / Initial Inspection
50044543,08/07/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27.0,,Cycle Inspection / Initial Inspection
41633095,05/23/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,16.0,,Cycle Inspection / Initial Inspection
50034105,05/05/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,15.0,B,Cycle Inspection / Re-inspection
41689407,12/30/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,7.0,,Cycle Inspection / Initial Inspection
50066378,02/27/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4.0,A,Cycle Inspection / Re-inspection
50003113,07/05/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24.0,,Cycle Inspection / Initial Inspection
41042466,05/18/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,CRITICAL,13.0,A,Cycle Inspection / Re-inspection
41720707,11/30/2017,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,NOT CRITICAL,28.0,,Cycle Inspection / Initial Inspection
50060296,07/19/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",not critical,2.0,A,Cycle Inspection / Re-inspection
41553437,12/05/2018,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,40.0,,Cycle Inspection / Initial Inspection
