id;street;neighbourhood;neighbourhood_cleansed;neighbourhood_group_cleansed;city;state;zipcode;market;smart_location;country_code;country;latitude
29240070;New York, NY, United States;Financial District;Financial District;Manhattan;New York;NY;10005.0;New York;New York, NY;US;United States;40.70603649765078
27237609;New York, NY, United States;Midtown East;Midtown;Manhattan;New York;NY;10017;New York;New York, NY;US;United States;40.75308078217247
11183567;New York, NY, United States;Upper East Side;Upper East Side;Manhattan;New York;NY;10065.0;New York;New York, NY;US;United States;40.76791666647171
20032519;New York, NY, United States;East Village;East Village;Manhattan;New York;NY;10002.0;New York;New York, NY;US;United States;40.72336424399618
6758849;New York, NY, United States;Upper East Side;Upper East Side;Manhattan;New York;NY;10028;New York;New York, NY;US;United States;40.77635077333981
25189853;New York City, NY, United States;Financial District;Financial District;Manhattan;New York City;NY;10038;New York;New York City, NY;US;United States;40.70802668628272
14933893;New York, NY, United States;Upper East Side;Upper East Side;Manhattan;New York;NY;;New York;New York, NY;US;United States;40.77334400042239
13108073;New York, NY, United States;Upper East Side;Upper East Side;Manhattan;New York;NY;10065.0;New York;New York, NY;US;United States;40.76173539166447
20121572;New York, NY, United States;Harlem;Harlem;Manhattan;New York;NY;10027.0;New York;New York, NY;US;United States;40.810775078744925
12704159;New York, NY, United States;Financial District;Financial District;Manhattan;New York;NY;10006.0;New York;New York, NY;US;United States;40.7078878395002
5298896;New York, NY, United States;Financial District;Financial District;Manhattan;New York;NY;10004;New York;New York, NY;US;United States;40.704571707217625
27429103;New York, NY, United States;Hell's Kitchen;Hell's Kitchen;Manhattan;New York;NY;10036;New York;New York, NY;US;United States;40.75988706130542
16380258;New York, NY, United States;;East Harlem;Manhattan;New York;NY;10029.0;New York;New York, NY;US;United States;40.78676080347207
1462341;New York, NY, United States;;Hell's Kitchen;Manhattan;New York;NY;10036;New York;New York, NY;US;United States;40.76581997942383
5761564;New York, NY, United States;East Village;East Village;Manhattan;New York;NY;10003;New York;New York, NY;US;United States;40.73065328550853
12168087;New York, NY, United States;Ridgewood;Ridgewood;Queens;New York;NY;11385.0;New York;New York, NY;US;United States;40.707187517371125
15206607;New York, NY, United States;Midtown East;Midtown;Manhattan;New York;NY;10017.0;New York;New York, NY;US;United States;40.75293853343172
25000744;New York, United States;Chelsea;Chelsea;Manhattan;New York;;10011;New York;New York, ;US;United States;40.7453013719644
27407852;New York, NY, United States;Upper East Side;Upper East Side;Manhattan;New York;NY;10065;New York;New York, NY;US;United States;40.76529109495622
11866751;New York, NY, United States;Hell's Kitchen;Hell's Kitchen;Manhattan;New York;NY;10036.0;New York;New York, NY;US;United States;40.76072135677491
21215073;New York, NY, United States;Chelsea;Chelsea;Manhattan;New York;NY;10011;New York;New York, NY;US;United States;40.74337354585753
6043671;New York, NY, United States;Murray Hill;Murray Hill;Manhattan;New York;NY;10016;New York;New York, NY;US;United States;40.7472476345275
23084751;New York, NY, United States;Midtown East;Midtown;Manhattan;New York;NY;10022;New York;New York, NY;US;United States;40.755444554656485
13217609;New York, NY, United States;Harlem;Harlem;Manhattan;New York;NY;10027.0;New York;New York, NY;US;United States;40.80990715607288
8398566;New York, NY, United States;Hell's Kitchen;Upper West Side;Manhattan;New York;NY;10019;New York;New York, NY;US;United States;40.769739344997504
26075362;New York, NY, United States;Upper West Side;Upper West Side;Manhattan;New York;NY;10024;New York;New York, NY;US;United States;40.78968574553068
55737;New York, NY, United States;Hudson Square;West Village;Manhattan;New York;NY;10014;New York;New York, NY;US;United States;40.72861496417131
11293039;New York, NY, United States;Greenwich Village;Greenwich Village;Manhattan;New York;NY;10003.0;New York;New York, NY;US;United States;40.73073349263023
28333381;New York, NY, United States;Midtown;Midtown;Manhattan;New York;NY;10001;New York;New York, NY;US;United States;40.74986435524303
3646551;New York, NY, United States;Gramercy Park;Gramercy;Manhattan;New York;NY;10003;New York;New York, NY;US;United States;40.73567587686261
16120794;New York, NY, United States;Chelsea;Chelsea;Manhattan;New York;NY;10011.0;New York;New York, NY;US;United States;40.74208309406459
9594397;New York, NY, United States;Upper West Side;Morningside Heights;Manhattan;New York;NY;10025;New York;New York, NY;US;United States;40.803932964951215
3236385;New York, NY, United States;Sunset Park;Sunset Park;Brooklyn;New York;NY;;New York;New York, NY;US;United States;40.64810532410497
8341669;New York, NY, United States;Upper West Side;Upper West Side;Manhattan;New York;NY;10024;New York;New York, NY;US;United States;40.79060812780695
26035069;New York, NY, United States;Harlem;Harlem;Manhattan;New York;NY;10030;New York;New York, NY;US;United States;40.82313925669852
3357364;New York, NY, United States;East Harlem;East Harlem;Manhattan;New York;NY;10035;New York;New York, NY;US;United States;40.80762090269048
2150818;New York, NY, United States;Meatpacking District;West Village;Manhattan;New York;NY;10065;New York;New York, NY;US;United States;40.73939018483805
5144689;New York, NY, United States;East Harlem;Harlem;Manhattan;New York;NY;10035;New York;New York, NY;US;United States;40.80515957345748
7272453;New York, NY, United States;East Village;East Village;Manhattan;New York;NY;10003;New York;New York, NY;US;United States;40.73030533784358
20973084;New York, NY, United States;Hamilton Heights;Harlem;Manhattan;New York;NY;10031;New York;New York, NY;US;United States;40.82875889186744
27237574;New York, NY, United States;Midtown East;Midtown;Manhattan;New York;NY;10017;New York;New York, NY;US;United States;40.75239826319122
