song_id;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
36dhj3CSJ2gsED35rBswno;0.775;0.787;1;-4,488;0.11;0.0613;0.000159;0.0916;0.665;175.993;317440
1hr5Y2i4NlE3LPvQZ9Q5Ao;0.679;0.909;1;-2,929;0.105;0.0334;0.0;0.269;0.819;119.885;155080
1FK6vbNH6Ew6Sid3467GLa;0.654;0.711;0;-7,522;0.0524;0.577;0.00434;0.127;0.879;139.966;238333
1ydmI439o0pHe0e2TLpHUv;0.471;0.875;2;-3,499;0.087;0.000652;0.0;0.239;0.759;177.98;197507
47d15DTbdDDjyNMfYoJut5;0.552;0.916;0;-3,397;0.133;0.097;0.0;0.124;0.776;178.109;200307
59mrqUmhpmcfUns8BKkV30;0.671;0.828;9;-2,907;0.053;0.00304;0.00287;0.352;0.57;127.976;288880
0uc7vguphIRR98PfMjaQtq;0.641;0.74;9;-6,347;0.0496;0.0611;1.75e-05;0.562;0.258;130.001;315000
3rhGu1eB7NapjN6AunWvGO;0.516;0.925;5;-4,973;0.0375;2.46e-06;0.199;0.0717;0.413;84.007;206467
4KaBSkPRsCjPm5JRJcE8Pc;0.587;0.957;1;-4,534;0.0412;0.00388;0.708;0.546;0.0352;127.997;181455
4AeQoeXXT9MgJzbVGrjUov;0.298;0.974;4;-3,935;0.0696;0.000264;7.11e-06;0.269;0.569;160.541;191184
3e9iivPr1NZ0ivSGgTdvn4;0.585;0.77;3;-4,604;0.0396;0.0227;5.6e-06;0.0692;0.393;122.987;231453
6zo4iy2sdLMWeDf2b7dpPg;0.753;0.581;8;-6,406;0.303;0.151;0.0;0.0973;0.417;89.863;182788
1lItf5ZXJc1by9SbPeljFd;0.807;0.887;1;-3,892;0.275;0.00381;0.0;0.391;0.78;160.517;144244
7rwWVAldgVU8CtPrxgwItZ;0.831;0.388;9;-11,917;0.117;0.0932;0.000546;0.102;0.179;115.024;169043
6yWUeZGPO7wels6n1VKYhX;0.674;0.924;9;-4,879;0.114;0.287;0.0;0.256;0.644;120.069;217480
7B109wzCWzXI5LFvjXWie1;0.672;0.7;8;-6,138;0.0558;0.145;8.57e-06;0.0886;0.333;105.078;177293
1JDfWFKXGxMjStMXfMRkto;0.626;0.906;3;-4,126;0.0352;0.00596;0.369;0.783;0.337;127.993;240000
4nT4O9xTNvHX7Zwt2bq4nn;0.806;0.763;8;-4,135;0.106;0.04;0.00349;0.511;0.645;117.018;172569
1VCEWYRGhRp6yaCFt7GzA9;0.677;0.738;6;-6,287;0.0467;0.311;0.000144;0.138;0.58;98.963;236786
2kjdTPSRPS9mVfRlaenjsf;0.755;0.856;6;-4,627;0.0991;0.148;0.0;0.31;0.962;170.067;233600
5Ddu4AaN1VaZ1MTg1neCl7;0.856;0.904;8;-4,804;0.139;0.0253;3.16e-05;0.0537;0.855;99.247;246533
0LlegggXrmrZ0zOtJvdb5Q;0.72;0.754;3;-7,229;0.0527;0.017;0.118;0.0597;0.833;129.988;192956
5ufaGO2pqau0HGBLSSDdiW;0.683;0.91;6;-3,718;0.162;0.0547;1.77e-05;0.352;0.715;190.008;218707
4M5m5Wud1IFsxTCL9yK0Qo;0.558;0.9;5;-3,117;0.0617;0.0183;0.00756;0.338;0.136;128.057;190781
7gmLcEPIL4wDUk8DykPBk6;0.663;0.971;2;-2,314;0.269;0.00746;0.00268;0.446;0.367;149.991;243200
7w9bgPAmPTtrkt2v16QWvQ;0.701;0.728;2;-4,554;0.255;0.00971;0.00115;0.361;0.0591;171.388;326467
5re7vx6PQkhtI75uJpzsqn;0.807;0.687;11;-4,664;0.0582;0.371;1.71e-06;0.109;0.737;120.006;166187
6LISuoA3ejKIjbfgFdVYoe;0.594;0.592;6;-9,123;0.0778;0.0871;1.85e-06;0.12;0.358;170.12;160941
06JpeGcBWieHXxewu6pTwr;0.797;0.595;6;-8,154;0.0386;0.706;0.00783;0.114;0.622;114.99;155563
2vtC4gCZCmpojflO8HEjIT;0.551;0.866;11;-10,121;0.101;0.0677;1.6e-06;0.55;0.42;91.629;224427
6uekkuTYKxEjy0ZuvMx67X;0.814;0.613;9;-8,113;0.0449;0.0473;0.067;0.15;0.72;114.651;443480
46QazXxQS0B31CnbRCy8CV;0.587;0.891;11;-3,381;0.0361;0.000261;0.00454;0.314;0.705;124.005;255573
19TcIDECdjNCWOW4itYJLc;0.599;0.244;1;-15,011;0.145;0.111;0.164;0.101;0.051;199.932;123064
3P6fS71hWhZvOnnxQojJ0Z;0.966;0.505;1;-14,762;0.111;0.0678;0.0;0.197;0.826;113.592;258533
1ju7EsSGvRybSNEsRvc7qY;0.422;0.752;6;-8,682;0.0449;0.0366;0.000119;0.129;0.403;120.471;356627
45u98kplW1TAIG3gIhPOoT;0.355;0.126;11;-13,801;0.0301;0.909;0.000337;0.131;0.102;109.769;295358
0DiDStADDVh3SvAsoJAFMk;0.795;0.496;0;-5,883;0.0722;0.108;0.0;0.0645;0.874;94.01;183000
4i6wwcBc3Qrqir83xBdbM6;0.49;0.984;0;-4,995;0.0437;0.0358;0.0703;0.064;0.961;152.479;294800
1X4l0BRQfy7K3VkUATgwro;0.693;0.918;11;-6,403;0.0637;0.0259;0.19;0.514;0.153;128.008;280867
2eInlKQuv2NarQXpaNmXbV;0.43;0.692;5;-7,5;0.0382;0.0404;0.000692;0.159;0.223;127.761;187360
6LsAAHotRLMOHfCsSfYCsz;0.692;0.809;2;-4,198;0.0602;0.524;0.0;0.147;0.864;123.911;190800
02lGHA7bFFplYLihnUWTx8;0.757;0.688;9;-4,546;0.112;0.226;0.0;0.237;0.704;155.994;159547
5zGZt4xazXtNXhwEAnSWUV;0.697;0.731;7;-4,629;0.0413;0.017;0.0;0.0758;0.718;99.995;204924
5vJxmMmw4fJX0hNxH6fVHV;0.808;0.844;4;-5,968;0.0951;0.161;0.00033;0.125;0.726;125.945;198197
1f8qvpRcmCIDavCcgi2wFI;0.818;0.799;6;-6,19;0.224;0.016;2.5e-06;0.105;0.325;103.07;214600
3KcsyKN0GyGQYGZJJhIx3L;0.859;0.773;7;-4,549;0.266;0.00382;0.0;0.129;0.691;166.825;274227
3vv9phIu6Y1vX3jcqaGz5Z;0.713;0.802;4;-7,055;0.0561;0.0435;0.00377;0.309;0.343;100.001;226739
66DTTmu0lvfoIloKnHRxlJ;0.805;0.622;1;-10,902;0.141;0.274;0.000838;0.102;0.716;122.006;344947
4p1NHiFP4PfV7eW1183Ej9;0.772;0.745;11;-10,194;0.0405;0.595;0.87;0.117;0.166;116.014;273162
4VHXa2uKPIelx9YBBqkHtM;0.685;0.552;7;-7,348;0.332;0.433;0.0;0.112;0.32;80.016;206865
3R9pp84rf8oe5OYtOYRvya;0.424;0.245;2;-15,026;0.0308;0.0398;0.0;0.882;0.211;99.649;152027
35V6qXUDCvwZdmbKe5PlPG;0.784;0.913;1;-1,208;0.177;0.0114;0.00162;0.0831;0.59;126.054;199048
2vX03yHcVtFUg2ZMuzhLhS;0.557;0.979;6;-4,254;0.0489;0.0013;0.834;0.0483;0.856;127.998;288805
60glrFrvqFW5RmNNecsnaa;0.561;0.744;4;-6,403;0.0408;0.581;0.0;0.821;0.638;152.076;203289
6MUZSRiBO5mpq5qQkFgAgz;0.759;0.948;1;-5,465;0.114;0.0212;0.336;0.366;0.181;134.085;152239
1IBoVcXHGZA4oVNRubqcLe;0.446;0.777;0;-6,793;0.0706;0.159;0.00107;0.131;0.31;187.043;189947
18mOjXq43khmSOLfR1rSws;0.576;0.748;7;-6,774;0.225;0.321;0.0;0.145;0.49;89.615;150290
1A6OTy97kk0mMdm78rHsm8;0.753;0.498;2;-5,61;0.0504;0.551;0.0;0.0706;0.927;89.95;158053
2nVHqZbOGkKWzlcy1aMbE7;0.48;0.536;2;-11,166;0.0427;0.488;4.22e-05;0.155;0.581;80.617;508200
46SLrzs7kkBROQpgpWPOTo;0.601;0.789;3;-7,744;0.0308;0.00315;0.273;0.0729;0.935;127.013;222227
34MRi5GRWHFUa731JBxFEl;0.89;0.716;1;-9,673;0.296;0.174;0.000589;0.0657;0.656;99.988;247400
7tN0ceaX3JAz6aVtyXn9mn;0.615;0.689;1;-5,332;0.0658;0.00483;0.0;0.177;0.783;162.919;165597
2Kn3xgaDCM4aHuHK7FApgC;0.678;0.662;1;-6,473;0.3;0.0123;0.0;0.133;0.498;80.318;234160
2PuDoAM0gdidF1txIQFUkp;0.846;0.856;7;-5,14;0.176;0.00496;0.0;0.076;0.913;144.09;254707
2CL7upMIx1IDagobGRGMPo;0.736;0.96;2;-2,638;0.0553;0.138;1.14e-05;0.322;0.34;128.041;140625
79qnkEV1yHwepL9gXcHhnQ;0.697;0.826;8;-9,074;0.0684;0.00776;0.0244;0.0516;0.105;125.983;175269
1xJrQgMoWUiRvZyl1KCXYW;0.819;0.611;0;-6,287;0.114;0.3;0.000199;0.108;0.894;173.926;287093
6TvNO32huOBlWG5o69i1v7;0.741;0.584;8;-4,446;0.283;0.295;9.62e-05;0.152;0.734;186.096;272800
0OWcpVA83HI8Pb5DybDuoX;0.882;0.777;5;-4,445;0.0504;0.354;0.0;0.135;0.533;121.985;456940
524euygKKFWurhvIdSrkg6;0.659;0.588;0;-5,682;0.063;0.632;0.0;0.124;0.297;135.884;219939
5VRtz5coFkV9EqVLGEsg6k;0.703;0.885;9;-6,712;0.0322;0.0275;0.00284;0.255;0.939;123.997;191947
58dSdjfEYNSxte1aNVxuNf;0.722;0.282;5;-7,484;0.106;0.373;0.00557;0.147;0.217;91.367;314358
11OwAR3GlBj9E35Cznf7Lj;0.695;0.573;10;-8,882;0.167;0.132;0.000137;0.156;0.38;100.031;192172
6ZkhOGgTomIDYExfQGf6ia;0.881;0.679;7;-6,755;0.0847;0.00146;0.615;0.0487;0.854;126.999;351496
0xJLcjd0gaZct43xG1UlXS;0.42;0.691;9;-8,56;0.0501;0.31;0.0427;0.109;0.0383;115.326;301733
1FUAcAaEcPLwA4z48WbhKU;0.503;0.749;7;-8,528;0.338;0.622;0.0;0.156;0.353;79.353;181995
2No866hrlpKgTXcQTZ2D2b;0.902;0.524;8;-8,394;0.109;0.00177;1.33e-05;0.0854;0.553;92.986;219200
3zECQWhwAEydeK9jUTPamo;0.618;0.767;5;-5,024;0.0489;0.00552;0.0;0.147;0.239;124.071;158602
2j8xh3KCpo1erHwHFqkMHD;0.609;0.681;5;-5,73;0.0699;0.0537;0.0;0.29;0.624;84.972;233667
2IDHoSlbG0CKH9rhq68wTb;0.647;0.624;9;-8,446;0.0451;0.025;0.056;0.0616;0.477;115.002;243091
2rXZir7PFYmCw93pK3iVaW;0.759;0.812;1;-3,95;0.0593;0.122;4.51e-05;0.192;0.661;88.995;211627
37eGbhE1xVFSvcKkqGb6i1;0.828;0.588;2;-7,14;0.118;0.0156;0.0;0.124;0.598;94.052;224681
03sno6MIkoVX5eC4pRKMzr;0.603;0.688;8;-5,515;0.0358;0.0117;0.75;0.0941;0.561;94.991;195000
5EdYlCWou17k0N1PADLKfO;0.577;0.844;7;-3,364;0.0406;0.00407;6.13e-06;0.499;0.283;115.066;183653
6a0GRBATlIq4SRbBOPOA8V;0.622;0.318;0;-7,707;0.434;0.00978;0.0;0.273;0.524;90.985;252693
2kN05N1AQQplsgFweFAqYb;0.532;0.664;2;-4,428;0.0304;0.000261;0.0;0.205;0.215;135.306;298267
285HeuLxsngjFn4GGegGNm;0.596;0.73;9;-4,091;0.151;0.24;0.0;0.325;0.525;85.979;192560
3syMVJoaLhRKAw9r9ZB9qD;0.868;0.673;10;-6,882;0.099;0.138;0.0;0.184;0.751;95.024;233267
7MCgEv2ovQuxfijz2WZ4kH;0.65;0.827;8;-3,792;0.0926;0.0265;5.88e-05;0.166;0.498;122.057;184918
5L50WiQMugsDZE2kMnmMBT;0.859;0.833;7;-4,156;0.0611;0.0164;0.000221;0.236;0.754;95.036;209933
0c1gHntWjKD7QShC8s99sq;0.39;0.649;2;-5,163;0.0345;0.172;0.0;0.216;0.144;121.16;299760
4jzPGm9YsNvFvpL5as5DVc;0.643;0.874;2;-3,714;0.033;0.346;0.000299;0.36;0.877;93.494;374053
