nRest;inspection_date;action;violation_code;violation_description;critical_flag;score;grade;inspection_type
41542473;09/06/2018;Violations were cited in the following area(s).;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;NOT CRITICAL;19.0;B;Cycle Inspection / Re-inspection
50084174;10/30/2018;Violations were cited in the following area(s).;10B;"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";Not Critical;13.0;A;Pre-permit (Operational) / Initial Inspection
40424488;10/23/2018;Violations were cited in the following area(s).;04L;Evidence of mice or live mice present in facility's food and/or non-food areas.;critical;19.0;Z;Cycle Inspection / Re-inspection
41464140;05/25/2017;Violations were cited in the following area(s).;08A;Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.;Not Critical;23.0;;Cycle Inspection / Initial Inspection
50014761;07/11/2016;Violations were cited in the following area(s).;22B;Toilet facility used by women does not have at least one covered garbage receptacle.;NOT CRITICAL;;;Administrative Miscellaneous / Initial Inspection
41615281;12/01/2015;Violations were cited in the following area(s).;06C;Food not protected from potential source of contamination during storage, preparation, transportation, display or service.;CRITICAL;9.0;A;Cycle Inspection / Initial Inspection
50060604;03/20/2018;Violations were cited in the following area(s).;04L;Evidence of mice or live mice present in facility's food and/or non-food areas.;CRITICAL;24.0;;Cycle Inspection / Initial Inspection
50072303;12/07/2017;Violations were cited in the following area(s).;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;NOT CRITICAL;2.0;;Pre-permit (Non-operational) / Initial Inspection
50047645;04/17/2017;Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;Not Critical;68.0;;Cycle Inspection / Initial Inspection
41167580;06/13/2016;Violations were cited in the following area(s).;08A;Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.;Not Critical;12.0;A;Cycle Inspection / Initial Inspection
