camis;dba;zipcode;cuisine_description
41516689;THE JUICE BAR;10314.0;Fruits/Vegetables
50034673;SOUTH SHORE BAR & GRILL;10307.0;American
50081719;PRESTO PIZZA & PASTA;10310.0;Pizza
50084763;Flaming Grill & Supreme Buffet;10302.0;Chinese
40956188;BAGELS ON THE LANE;10306.0;Delicatessen
40536227;JADE ISLAND RESTAURANT;10314.0;Chinese
41206985;DUNKIN' DONUTS;10314.0;Donuts
40373118;GOLDEN DOVE DINER;10312.0;American
50005613;JADE ASIAN BISTRO;10306.0;Chinese/Japanese
50038951;GIOVANNIS TRATTORIA;10312.0;Italian
41260427;658 KINGS DELI;10306.0;Delicatessen
41308249;ORIENTAL PLAZA;10314.0;Chinese
40601738;LA CANDELA ESPANOLA;10308.0;Spanish
50013726;BROTHER PIZZA;10302.0;Pizza/Italian
41597047;Z-TWO DINER & LOUNGE;10309.0;American
50049213;BIG BOYS PIZZERIA;10306.0;Pizza/Italian
41466245;ATLIXCO BAKERY & DELI;;Mexican
50010946;FOREST BAGELS;10310.0;American
50006379;BETTER GOURMET HEALTH KITCHEN;10301.0;American
41373803;Z-ONE DINER & LOUNGE;10314.0;American
41167580;POCO LOCO BAR;10301.0;Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41417857;SUBWAY;10314.0;Sandwiches
50074024;KUKIZ;10302.0;Spanish
41332088;CARVEL ICE CREAM;10310.0;Ice Cream, Gelato, Yogurt, Ices
40423819;ALFONSO'S PASTRY SHOPPE;10314.0;Bakery
