nRest	inspection_date	action	violation_code	violation_description	critical_flag	score	grade	inspection_type
50041493	02/12/2018	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	Critical	20.0		Cycle Inspection / Compliance Inspection
40837042	11/01/2017	Violations were cited in the following area(s).	10I	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	11.0	A	Cycle Inspection / Initial Inspection
50065695	07/18/2018	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	critical	26.0		Cycle Inspection / Initial Inspection
41488662	2018-07-08	Violations were cited in the following area(s).	04A	Food Protection Certificate not held by supervisor of food operations.	CRITICAL	12.0	A	Cycle Inspection / Initial Inspection
50034232	10/26/2018	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	not critical	7.0	A	Cycle Inspection / Re-inspection
41216675	11/18/2015	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	Critical	12.0	A	Cycle Inspection / Re-inspection
41544565	10/20/2016	Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	NOT CRITICAL	48.0		Cycle Inspection / Initial Inspection
41675471	06/13/2018	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	NOT CRITICAL	26.0		Cycle Inspection / Initial Inspection
41348054	07/27/2016	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	11.0		Cycle Inspection / Initial Inspection
40644030	07/19/2017	Violations were cited in the following area(s).	02G	Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.	CRITICAL	22.0		Cycle Inspection / Initial Inspection
50008084	08/16/2017	Violations were cited in the following area(s).	04A	Food Protection Certificate not held by supervisor of food operations.	Critical	31.0		Cycle Inspection / Initial Inspection
41545589	01/09/2018	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	11.0	A	Cycle Inspection / Initial Inspection
41705814	01/27/2016	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	CRITICAL	7.0	A	Cycle Inspection / Initial Inspection
41585136	06/11/2015	Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.	02B	Hot food item not held at or above 140Âº F.	Critical	24.0		Cycle Inspection / Initial Inspection
50001029	10/31/2018	Violations were cited in the following area(s).	09C	Food contact surface not properly maintained.	NOT CRITICAL	20.0		Cycle Inspection / Initial Inspection
41255390	10/15/2015	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	13.0	A	Cycle Inspection / Re-inspection
41389314	08/20/2015	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	CRITICAL	15.0	B	Cycle Inspection / Re-inspection
50039107	11/29/2018	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	10.0	A	Cycle Inspection / Re-inspection
41314872	08/09/2018	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	CRITICAL	37.0		Cycle Inspection / Initial Inspection
40674404	02/16/2016	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	Critical	9.0	A	Cycle Inspection / Re-inspection
50014114	05/10/2016	Violations were cited in the following area(s).	06I	Food not labeled in accordance with HACCP plan.	Critical	54.0	C	Cycle Inspection / Re-inspection
41653860	12/29/2016	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	21.0		Cycle Inspection / Initial Inspection
41659018	10/03/2018	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	17.0	B	Cycle Inspection / Re-inspection
41405312	11/09/2015	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	18.0		Cycle Inspection / Initial Inspection
41672745	10/26/2016	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	Critical	11.0	A	Cycle Inspection / Initial Inspection
41689915	04/06/2018	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	Critical	10.0	A	Cycle Inspection / Initial Inspection
41525492	07/15/2015	Violations were cited in the following area(s).	05D	Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.	CRITICAL	40.0		Cycle Inspection / Initial Inspection
41290414	12/01/2015	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	CRITICAL	24.0	B	Cycle Inspection / Re-inspection
41721692	04/19/2016	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	CRITICAL	7.0	A	Cycle Inspection / Initial Inspection
41327232	07/11/2017	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140Âº F.	CRITICAL	15.0		Cycle Inspection / Initial Inspection
