song_id;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
04o1cc3SZKXhAGFugDUHMx;0.755;0.698;8;-6,85;0.0483;0.0566;0.0166;0.112;0.81;122.984;285000
5DWaEpFT3vqOrr3fTaOhA6;0.664;0.859;1;-5,483;0.0331;0.0344;0.0;0.1;0.829;119.994;171965
1mzGywacjpeik00PVLBPpF;0.606;0.72;5;-6,253;0.0283;0.000151;0.00165;0.0745;0.179;127.986;251613
7s4eOa9D4Qt7o3iRChaVIu;0.519;0.604;4;-11,011;0.0581;0.218;5.66e-05;0.222;0.768;153.644;334040
5hEM0JchdVzQ5PwvSfITeX;0.76;0.838;7;-3,828;0.0529;0.547;1.3e-06;0.0664;0.745;93.05;210323
2rc7BkzO8qepMFAxHtOrXc;0.87;0.706;9;-5,395;0.126;0.0253;0.0063;0.0872;0.593;100.013;145800
4kyrRm0GmJbg16CEGEHXUK;0.591;0.959;4;-5,644;0.215;0.00583;0.624;0.428;0.346;127.99;186929
6SUP50TLDdNHA0hc2OjgpR;0.697;0.844;8;-5,555;0.0913;0.00118;0.000499;0.0715;0.359;127.99;312478
513Tla7AksgNgCDZwOT2LU;0.87;0.543;0;-6,436;0.0616;0.0901;0.000416;0.0763;0.43;96.027;202755
1t9LPKYNjcFPTWa2moPE94;0.514;0.717;9;-5,987;0.249;0.209;0.0;0.169;0.333;140.9;311626
27ALar3f8xkLfXOrKAzDkg;0.679;0.632;11;-9,038;0.158;0.0203;0.0;0.15;0.73;178.026;272823
0gEcmyKlIUoi3sHTFVO1bE;0.87;0.637;5;-8,368;0.0614;0.497;3.15e-05;0.205;0.78;120.99;190561
4VyZJLK6KWv2SYCYxCqafR;0.423;0.631;5;-7,17;0.0334;0.00161;0.00978;0.231;0.283;117.067;203077
76g4jzkpvb0uT03GVeM4lC;0.539;0.805;10;-4,402;0.0332;0.0158;0.0;0.169;0.455;128.036;200394
6ME1VoSzgeICC3LERDfq0d;0.246;0.873;7;-4,78;0.0419;0.000528;0.95;0.154;0.157;124.016;320000
1Ht4NJdY8adMsW540P5vG0;0.677;0.758;6;-6,523;0.027;0.00307;0.736;0.22;0.308;119.999;173625
7y3q0izJ5weq86CLTu71u1;0.801;0.716;7;-8,398;0.0541;0.285;1e-05;0.18;0.771;94.005;251890
4qRjfovbhI4EwP7VQNfxVW;0.561;0.541;9;-9,818;0.0711;0.054;0.0371;0.0627;0.324;84.241;257920
0wdKiSBUT7aZkXUIdJWcwC;0.895;0.681;7;-5,267;0.358;0.157;0.0;0.189;0.554;121.918;240000
0kpTzI6X2woiehn1E1POPL;0.515;0.801;4;-5,99;0.0329;0.0153;0.624;0.0876;0.0615;150.135;243200
